41.2,29.689,4.2447,29.453,2.0219,1.5153,1.6696,4.7049,1
53.774,54.1,2.1297,7.1286,15.204,5.4753,0.11118,2.0363,1
97.798,43.795,1.1265,5.7405,1.2806,0.16944,-0.2622,2.6014,1
33.65,32.263,5.2729,34.283,8.73,10.082,1.7602,5.126,1
35.146,44.32,3.8634,17.772,9.676,6.5975,1.0461,2.9416,1
30.374,37.77,4.704,26.725,9.5384,8.0814,1.3042,3.5805,1
42.013,29.943,4.3125,29.429,2.1694,1.4309,1.5912,4.6452,1
84.347,50.18,1.1474,5.1247,1.8249,0.36863,0.16875,2.307,1
59.142,36.978,2.5169,14.342,1.3751,0.53985,1.6028,5.0155,1
27.67,27.605,6.3348,49.82,21.179,34.55,2.3122,7.4955,1
49.077,32.151,3.6722,22.006,2.1712,1.4427,1.7608,4.9331,1
13.706,31.813,5.5636,37.755,31.373,23.307,1.2879,3.7299,1
51.326,44.033,2.5151,11.474,1.8053,0.81681,1.4745,4.165,1
56.741,31.952,2.5476,16.59,1.9531,0.63801,0.52714,2.2389,1
72.894,40.651,1.8609,9.1152,1.5236,0.45783,1.0845,3.3608,1
43.145,27.389,4.6374,36.71,2.0705,0.74043,1.8832,7.2906,1
44.294,34.703,3.8312,21.692,1.6616,0.64086,1.2849,3.9543,1
12.223,37.367,5.3456,31.804,70.514,61.123,1.4386,4.0361,1
107.08,56.242,0.66303,2.9948,2.5578,0.65379,-0.14633,1.8947,1
32.365,27.815,5.7971,44.031,2.7177,2.2062,1.8921,5.688,1
23.053,28.794,6.036,45.504,5.7506,5.9709,1.8556,5.8666,1
30.238,28.089,5.7384,43.579,2.3625,1.4361,1.5024,4.317,1
41.441,34.694,4.0993,22.372,3.5495,2.6937,1.512,4.2503,1
79.213,52.1,1.5615,5.4581,3.3186,1.032,0.41399,2.1004,1
69.422,37.997,1.8576,9.6266,1.2487,0.34587,1.1273,3.6471,1
47.137,37.441,2.9904,15.275,1.6893,0.56922,1.0076,3.1235,1
46.882,36.817,2.7173,13.813,1.6137,0.66615,1.8469,5.8375,1
40.851,30.36,4.309,28.548,1.8717,1.3388,1.8811,5.4819,1
32.818,33.2,5.8929,39.92,4.2727,5.8164,2.5224,8.6127,1
28.768,36.204,4.7952,27.802,4.5965,3.6801,1.503,4.1509,1
40.583,32.304,3.8845,23.007,3.0894,1.3185,1.0455,3.3012,1
15.131,26.176,8.0823,72.399,22.019,23.844,1.9436,5.9806,1
82.67,36.195,2.0364,11.58,1.471,0.82405,1.6399,4.4747,1
67.003,29.947,2.4046,17.423,1.2413,0.44396,2.1183,7.3624,1
26.384,26.244,6.9536,59.248,4.2244,4.5374,2.0136,6.3766,1
51.138,35.232,3.0641,16.726,1.9421,0.94498,1.3748,3.8264,1
24.703,31.916,5.5866,36.449,5.2402,5.3659,1.8283,5.4214,1
15.614,32.621,5.5977,36.406,57.134,54.252,1.4207,4.0208,1
63.598,44.606,2.622,10.72,34.738,27.393,0.72869,2.1801,1
127.28,47.356,0.1288,3.3664,1.9649,0.60547,0.45741,2.0752,1
99.61,52.764,0.52664,3.2866,1.3713,0.27317,0.72574,2.6567,1
7.963,27.648,7.679,65.911,293.31,287.57,1.7404,5.1909,1
33.16,32.205,5.6017,37.285,3.5113,2.3455,1.5403,4.4304,1
95.786,51.812,1.125,4.5945,1.781,0.43927,0.31798,1.85,1
52.837,37.941,3.2151,16.397,2.2422,1.1006,1.3026,3.7142,1
33.226,34.002,4.4194,26.165,3.0103,2.2642,1.6052,4.5295,1
54.926,36.612,3.425,17.983,2.2134,0.90741,1.2277,3.6432,1
20.999,39.016,4.9174,27.228,12.541,10.786,1.3896,3.8357,1
47.358,35.508,3.9132,21.839,3.3134,2.8354,1.6999,5.0743,1
48.315,33.451,3.4751,20.522,1.6105,0.76718,1.8094,5.7297,1
68.086,57.104,1.6818,5.2338,5.3733,1.476,-0.12592,2.1515,1
81.03,44.138,1.5985,7.1413,1.795,0.64835,0.9461,2.8105,1
91.313,44.197,1.3029,6.2029,1.8436,0.40216,-0.03441,1.9765,1
45.72,44.348,3.0639,12.845,7.9984,3.7835,0.71138,2.4088,1
52.487,30.839,4.5212,30.416,9.788,16.801,2.4438,8.0052,1
65.064,32.729,3.6796,22.833,1.736,1.0574,2.0116,6.6249,1
14.984,29.721,6.8019,51.014,38.761,49.2,2.0535,6.5761,1
85.27,44.92,1.2925,6.2114,1.9523,0.66256,0.78647,2.5021,1
26.902,29.126,6.0674,44.201,18.572,27.601,2.1703,6.8026,1
